atom_index,symbol,group
0,Zn,surface
1,Zn,surface
2,Zn,surface
3,Zn,surface
4,O,surface
5,O,surface
6,O,surface
7,O,surface
8,Zn,surface
9,Zn,surface
10,Zn,surface
11,Zn,surface
12,Zn,surface
13,Zn,surface
14,O,surface
15,O,surface
16,O,surface
17,O,surface
18,O,surface
19,O,surface
20,Zn,surface
21,Zn,surface
22,Zn,surface
23,Zn,surface
24,O,surface
25,O,surface
26,O,surface
27,O,surface
28,Zn,surface
29,Zn,surface
30,Zn,surface
31,Zn,surface
32,Zn,surface
33,Zn,surface
34,O,surface
35,O,surface
36,O,surface
37,O,surface
38,O,surface
39,O,surface
40,Zn,surface
41,Zn,surface
42,Zn,surface
43,Zn,surface
44,O,surface
45,O,surface
46,O,surface
47,O,surface
48,Zn,surface
49,Zn,surface
50,Zn,surface
51,Zn,surface
52,Zn,surface
53,Zn,surface
54,O,surface
55,O,surface
56,O,surface
57,O,surface
58,O,surface
59,O,surface
60,Zn,surface
61,Zn,surface
62,Zn,surface
63,Zn,surface
64,O,surface
65,O,surface
66,O,surface
67,O,surface
68,Zn,surface
69,Zn,surface
70,Zn,surface
71,Zn,surface
72,Zn,surface
73,Zn,surface
74,O,surface
75,O,surface
76,O,surface
77,O,surface
78,O,surface
79,O,surface
80,Zn,surface
81,Zn,surface
82,Zn,surface
83,Zn,surface
84,O,surface
85,O,surface
86,O,surface
87,O,surface
88,Zn,surface
89,Zn,surface
90,Zn,surface
91,Zn,surface
92,Zn,surface
93,Zn,surface
94,O,surface
95,O,surface
96,O,surface
97,O,surface
98,O,surface
99,O,surface
100,Zn,surface
101,Zn,surface
102,Zn,surface
103,Zn,surface
104,O,surface
105,O,surface
106,O,surface
107,O,surface
108,Zn,surface
109,Zn,surface
110,Zn,surface
111,Zn,surface
112,Zn,surface
113,Zn,surface
114,O,surface
115,O,surface
116,O,surface
117,O,surface
118,O,surface
119,O,surface
120,Zn,surface
121,Zn,surface
122,Zn,surface
123,Zn,surface
124,O,surface
125,O,surface
126,O,surface
127,O,surface
128,Zn,surface
129,Zn,surface
130,Zn,surface
131,Zn,surface
132,Zn,surface
133,Zn,surface
134,O,surface
135,O,surface
136,O,surface
137,O,surface
138,O,surface
139,O,surface
140,Zn,surface
141,Zn,surface
142,Zn,surface
143,Zn,surface
144,O,surface
145,O,surface
146,O,surface
147,O,surface
148,Zn,surface
149,Zn,surface
150,Zn,surface
151,Zn,surface
152,Zn,surface
153,Zn,surface
154,O,surface
155,O,surface
156,O,surface
157,O,surface
158,O,surface
159,O,surface
160,Zn,surface
161,Zn,surface
162,Zn,surface
163,Zn,surface
164,O,surface
165,O,surface
166,O,surface
167,O,surface
168,Zn,surface
169,Zn,surface
170,Zn,surface
171,Zn,surface
172,Zn,surface
173,Zn,surface
174,O,surface
175,O,surface
176,O,surface
177,O,surface
178,O,surface
179,O,surface
180,Zn,surface
181,Zn,surface
182,Zn,surface
183,Zn,surface
184,O,surface
185,O,surface
186,O,surface
187,O,surface
188,Zn,surface
189,Zn,surface
190,Zn,surface
191,Zn,surface
192,Zn,surface
193,Zn,surface
194,O,surface
195,O,surface
196,O,surface
197,O,surface
198,O,surface
199,O,surface
200,Zn,surface
201,Zn,surface
202,Zn,surface
203,Zn,surface
204,O,surface
205,O,surface
206,O,surface
207,O,surface
208,Zn,surface
209,Zn,surface
210,Zn,surface
211,Zn,surface
212,Zn,surface
213,Zn,surface
214,O,surface
215,O,surface
216,O,surface
217,O,surface
218,O,surface
219,O,surface
220,Zn,surface
221,Zn,surface
222,Zn,surface
223,Zn,surface
224,O,surface
225,O,surface
226,O,surface
227,O,surface
228,Zn,surface
229,Zn,surface
230,Zn,surface
231,Zn,surface
232,Zn,surface
233,Zn,surface
234,O,surface
235,O,surface
236,O,surface
237,O,surface
238,O,surface
239,O,surface
240,Zn,surface
241,Zn,surface
242,Zn,surface
243,Zn,surface
244,O,surface
245,O,surface
246,O,surface
247,O,surface
248,Zn,surface
249,Zn,surface
250,Zn,surface
251,Zn,surface
252,Zn,surface
253,Zn,surface
254,O,surface
255,O,surface
256,O,surface
257,O,surface
258,O,surface
259,O,surface
260,Zn,surface
261,Zn,surface
262,Zn,surface
263,Zn,surface
264,O,surface
265,O,surface
266,O,surface
267,O,surface
268,Zn,surface
269,Zn,surface
270,Zn,surface
271,Zn,surface
272,Zn,surface
273,Zn,surface
274,O,surface
275,O,surface
276,O,surface
277,O,surface
278,O,surface
279,O,surface
280,Zn,surface
281,Zn,surface
282,Zn,surface
283,Zn,surface
284,O,surface
285,O,surface
286,O,surface
287,O,surface
288,Zn,surface
289,Zn,surface
290,Zn,surface
291,Zn,surface
292,Zn,surface
293,Zn,surface
294,O,surface
295,O,surface
296,O,surface
297,O,surface
298,O,surface
299,O,surface
300,Zn,surface
301,Zn,surface
302,Zn,surface
303,Zn,surface
304,O,surface
305,O,surface
306,O,surface
307,O,surface
308,Zn,surface
309,Zn,surface
310,Zn,surface
311,Zn,surface
312,Zn,surface
313,Zn,surface
314,O,surface
315,O,surface
316,O,surface
317,O,surface
318,O,surface
319,O,surface
320,Zn,surface
321,Zn,surface
322,Zn,surface
323,Zn,surface
324,O,surface
325,O,surface
326,O,surface
327,O,surface
