frame_index,frame_label,previous_frame_label,event_type,atom_i,atom_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
1666,frame_00166700,frame_00166600,broken,973,976,C,C,C-C,1.575777,
1667,frame_00166800,frame_00166700,formed,973,976,C,C,C-C,,1.469027
2167,frame_00216800,frame_00216700,broken,976,979,C,C,C-C,1.501655,
2168,frame_00216900,frame_00216800,formed,976,979,C,C,C-C,,1.647073
2306,frame_00230700,frame_00230600,broken,964,967,C,C,C-C,1.637839,
2307,frame_00230800,frame_00230700,formed,964,967,C,C,C-C,,1.551811
2311,frame_00231200,frame_00231100,broken,964,967,C,C,C-C,1.729325,
2312,frame_00231300,frame_00231200,formed,964,967,C,C,C-C,,1.773254
2366,frame_00236700,frame_00236600,broken,979,982,C,C,C-C,1.424154,
2367,frame_00236800,frame_00236700,formed,979,982,C,C,C-C,,1.560071
2369,frame_00237000,frame_00236900,broken,979,982,C,C,C-C,1.441758,
2370,frame_00237100,frame_00237000,formed,979,982,C,C,C-C,,1.492312
2390,frame_00239100,frame_00239000,broken,967,968,C,C,C-C,1.365011,
2391,frame_00239200,frame_00239100,formed,967,968,C,C,C-C,,1.528505
2444,frame_00244500,frame_00244400,broken,968,970,C,C,C-C,1.529529,
2445,frame_00244600,frame_00244500,formed,968,970,C,C,C-C,,1.493470
2482,frame_00248300,frame_00248200,broken,967,968,C,C,C-C,1.492782,
2483,frame_00248400,frame_00248300,formed,967,968,C,C,C-C,,1.674591
2515,frame_00251600,frame_00251500,broken,979,982,C,C,C-C,1.565096,
2516,frame_00251700,frame_00251600,formed,979,982,C,C,C-C,,1.596212
2666,frame_00266700,frame_00266600,broken,964,967,C,C,C-C,1.525051,
2667,frame_00266800,frame_00266700,formed,964,967,C,C,C-C,,1.462401
2951,frame_00295200,frame_00295100,broken,976,979,C,C,C-C,1.674289,
2952,frame_00295300,frame_00295200,formed,976,979,C,C,C-C,,1.412575
3144,frame_00314500,frame_00314400,broken,964,967,C,C,C-C,1.673802,
3145,frame_00314600,frame_00314500,formed,964,967,C,C,C-C,,1.621504
3148,frame_00314900,frame_00314800,broken,961,964,C,C,C-C,1.581679,
3149,frame_00315000,frame_00314900,formed,961,964,C,C,C-C,,1.410894
