frame_index,frame_label,previous_frame_label,event_type,atom_i,atom_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
272,set_000__step_00013650,set_000__step_00013600,formed,139,961,O,C,C-O,,1.627697
273,set_000__step_00013700,set_000__step_00013650,broken,139,961,O,C,C-O,1.627697,
275,set_000__step_00013800,set_000__step_00013750,formed,139,961,O,C,C-O,,1.509772
1680,set_000__step_00084050,set_000__step_00084000,broken,139,961,O,C,C-O,1.380879,
1681,set_000__step_00084100,set_000__step_00084050,formed,139,961,O,C,C-O,,1.426799
1691,set_000__step_00084600,set_000__step_00084550,broken,139,961,O,C,C-O,1.454340,
1692,set_000__step_00084650,set_000__step_00084600,formed,139,961,O,C,C-O,,1.389370
1824,set_000__step_00091250,set_000__step_00091200,broken,139,961,O,C,C-O,1.532394,
1825,set_000__step_00091300,set_000__step_00091250,formed,139,961,O,C,C-O,,1.396646
2314,set_001__step_00115750,set_001__step_00115700,broken,139,961,O,C,C-O,1.402139,
2315,set_001__step_00115800,set_001__step_00115750,formed,139,961,O,C,C-O,,1.528529
2344,set_001__step_00117250,set_001__step_00117200,broken,139,961,O,C,C-O,1.442638,
2345,set_001__step_00117300,set_001__step_00117250,formed,139,961,O,C,C-O,,1.346697
2352,set_001__step_00117650,set_001__step_00117600,broken,139,961,O,C,C-O,1.415948,
2353,set_001__step_00117700,set_001__step_00117650,formed,139,961,O,C,C-O,,1.389591
2472,set_001__step_00123650,set_001__step_00123600,broken,139,961,O,C,C-O,1.629225,
2473,set_001__step_00123700,set_001__step_00123650,formed,139,961,O,C,C-O,,1.481294
2737,set_001__step_00136900,set_001__step_00136850,broken,139,961,O,C,C-O,1.490927,
2738,set_001__step_00136950,set_001__step_00136900,formed,139,961,O,C,C-O,,1.422482
2739,set_001__step_00137000,set_001__step_00136950,broken,139,961,O,C,C-O,1.422482,
2740,set_001__step_00137050,set_001__step_00137000,formed,139,961,O,C,C-O,,1.373742
2744,set_001__step_00137250,set_001__step_00137200,broken,139,961,O,C,C-O,1.369967,
2745,set_001__step_00137300,set_001__step_00137250,formed,139,961,O,C,C-O,,1.408022
2781,set_001__step_00139100,set_001__step_00139050,broken,139,961,O,C,C-O,1.406047,
2782,set_001__step_00139150,set_001__step_00139100,formed,139,961,O,C,C-O,,1.339824
2783,set_001__step_00139200,set_001__step_00139150,broken,139,961,O,C,C-O,1.339824,
2784,set_001__step_00139250,set_001__step_00139200,formed,139,961,O,C,C-O,,1.472460
2834,set_001__step_00141750,set_001__step_00141700,broken,139,961,O,C,C-O,1.336209,
2835,set_001__step_00141800,set_001__step_00141750,formed,139,961,O,C,C-O,,1.425588
2837,set_001__step_00141900,set_001__step_00141850,broken,139,961,O,C,C-O,1.449695,
2838,set_001__step_00141950,set_001__step_00141900,formed,139,961,O,C,C-O,,1.468425
2839,set_001__step_00142000,set_001__step_00141950,broken,139,961,O,C,C-O,1.468425,
2840,set_001__step_00142050,set_001__step_00142000,formed,139,961,O,C,C-O,,1.421365
2847,set_001__step_00142400,set_001__step_00142350,broken,139,961,O,C,C-O,1.384611,
2848,set_001__step_00142450,set_001__step_00142400,formed,139,961,O,C,C-O,,1.379681
2849,set_001__step_00142500,set_001__step_00142450,broken,139,961,O,C,C-O,1.379681,
2850,set_001__step_00142550,set_001__step_00142500,formed,139,961,O,C,C-O,,1.371675
