frame_index,frame_label,previous_frame_label,interface_event_count,"events(interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed)"
1,set_000__step_00000100,set_000__step_00000050,0,
2,set_000__step_00000150,set_000__step_00000100,0,
3,set_000__step_00000200,set_000__step_00000150,0,
4,set_000__step_00000250,set_000__step_00000200,0,
5,set_000__step_00000300,set_000__step_00000250,0,
6,set_000__step_00000350,set_000__step_00000300,0,
7,set_000__step_00000400,set_000__step_00000350,0,
8,set_000__step_00000450,set_000__step_00000400,0,
9,set_000__step_00000500,set_000__step_00000450,0,
10,set_000__step_00000550,set_000__step_00000500,0,
11,set_000__step_00000600,set_000__step_00000550,1,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.064362}"
12,set_000__step_00000650,set_000__step_00000600,0,
13,set_000__step_00000700,set_000__step_00000650,1,"{water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.007871,}"
14,set_000__step_00000750,set_000__step_00000700,0,
15,set_000__step_00000800,set_000__step_00000750,0,
16,set_000__step_00000850,set_000__step_00000800,0,
17,set_000__step_00000900,set_000__step_00000850,0,
18,set_000__step_00000950,set_000__step_00000900,0,
19,set_000__step_00001000,set_000__step_00000950,0,
20,set_000__step_00001050,set_000__step_00001000,0,
21,set_000__step_00001100,set_000__step_00001050,0,
22,set_000__step_00001150,set_000__step_00001100,1,"{water-surface,formed,113,1032,surface,water,Zn,O,O-Zn,,2.140511}"
23,set_000__step_00001200,set_000__step_00001150,1,"{water-surface,formed,893,1029,surface,water,Zn,O,O-Zn,,2.154338}"
24,set_000__step_00001250,set_000__step_00001200,2,"{water-surface,formed,799,1034,surface,water,O,H,H-O,,1.102471} {water-surface,broken,113,1032,surface,water,Zn,O,O-Zn,1.990823,}"
25,set_000__step_00001300,set_000__step_00001250,2,"{water-surface,broken,799,1034,surface,water,O,H,H-O,1.102471,} {water-surface,broken,893,1029,surface,water,Zn,O,O-Zn,2.142663,}"
