frame_index,frame_label,previous_frame_label,interface_event_count,"events(interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed)"
1,New folder__set_002__step_00200050,New folder__set_002__step_00200000,2,"{water-surface,formed,913,1050,surface,water,Zn,O,O-Zn,,2.159459} {water-surface,broken,639,1051,surface,water,O,H,H-O,1.236708,}"
2,New folder__set_002__step_00200100,New folder__set_002__step_00200050,0,
3,New folder__set_002__step_00200150,New folder__set_002__step_00200100,0,
4,New folder__set_002__step_00200200,New folder__set_002__step_00200150,1,"{water-surface,broken,913,1050,surface,water,Zn,O,O-Zn,2.056844,}"
5,New folder__set_002__step_00200250,New folder__set_002__step_00200200,0,
6,New folder__set_002__step_00200300,New folder__set_002__step_00200250,0,
7,New folder__set_002__step_00200350,New folder__set_002__step_00200300,1,"{water-surface,formed,913,1050,surface,water,Zn,O,O-Zn,,2.195004}"
8,New folder__set_002__step_00200400,New folder__set_002__step_00200350,1,"{water-surface,broken,913,1050,surface,water,Zn,O,O-Zn,2.195004,}"
9,New folder__set_002__step_00200450,New folder__set_002__step_00200400,1,"{water-surface,formed,913,1050,surface,water,Zn,O,O-Zn,,2.169948}"
10,New folder__set_002__step_00200500,New folder__set_002__step_00200450,1,"{water-surface,broken,913,1050,surface,water,Zn,O,O-Zn,2.169948,}"
11,New folder__set_002__step_00200550,New folder__set_002__step_00200500,1,"{water-surface,formed,913,1050,surface,water,Zn,O,O-Zn,,2.175517}"
12,New folder__set_002__step_00200600,New folder__set_002__step_00200550,0,
13,New folder__set_002__step_00200650,New folder__set_002__step_00200600,1,"{water-surface,broken,913,1050,surface,water,Zn,O,O-Zn,2.193128,}"
14,New folder__set_002__step_00200700,New folder__set_002__step_00200650,0,
15,New folder__set_002__step_00200750,New folder__set_002__step_00200700,0,
16,New folder__set_002__step_00200800,New folder__set_002__step_00200750,0,
17,New folder__set_002__step_00200850,New folder__set_002__step_00200800,1,"{water-surface,formed,913,1050,surface,water,Zn,O,O-Zn,,2.097874}"
18,New folder__set_002__step_00200900,New folder__set_002__step_00200850,0,
19,New folder__set_002__step_00200950,New folder__set_002__step_00200900,1,"{water-surface,broken,913,1050,surface,water,Zn,O,O-Zn,2.140774,}"
20,New folder__set_002__step_00201000,New folder__set_002__step_00200950,0,
21,New folder__set_002__step_00201050,New folder__set_002__step_00201000,0,
22,New folder__set_002__step_00201100,New folder__set_002__step_00201050,1,"{water-surface,formed,913,1050,surface,water,Zn,O,O-Zn,,2.134891}"
23,New folder__set_002__step_00201150,New folder__set_002__step_00201100,0,
24,New folder__set_002__step_00201200,New folder__set_002__step_00201150,0,
25,New folder__set_002__step_00201250,New folder__set_002__step_00201200,1,"{water-surface,broken,913,1050,surface,water,Zn,O,O-Zn,2.187658,}"
26,New folder__set_002__step_00201300,New folder__set_002__step_00201250,0,
27,New folder__set_002__step_00201350,New folder__set_002__step_00201300,0,
28,New folder__set_002__step_00201400,New folder__set_002__step_00201350,2,"{water-surface,formed,639,1052,surface,water,O,H,H-O,,1.066916} {water-surface,formed,913,1050,surface,water,Zn,O,O-Zn,,2.120803}"
29,New folder__set_002__step_00201450,New folder__set_002__step_00201400,0,
30,New folder__set_002__step_00201500,New folder__set_002__step_00201450,0,
31,New folder__set_002__step_00201550,New folder__set_002__step_00201500,0,
32,New folder__set_002__step_00201600,New folder__set_002__step_00201550,0,
33,New folder__set_002__step_00201650,New folder__set_002__step_00201600,0,
34,New folder__set_002__step_00201700,New folder__set_002__step_00201650,0,
35,New folder__set_002__step_00201750,New folder__set_002__step_00201700,0,
36,New folder__set_002__step_00201800,New folder__set_002__step_00201750,0,
37,New folder__set_002__step_00201850,New folder__set_002__step_00201800,0,
38,New folder__set_002__step_00201900,New folder__set_002__step_00201850,0,
39,New folder__set_002__step_00201950,New folder__set_002__step_00201900,0,
40,New folder__set_002__step_00202000,New folder__set_002__step_00201950,0,
41,New folder__set_002__step_00202050,New folder__set_002__step_00202000,0,
42,New folder__set_002__step_00202100,New folder__set_002__step_00202050,0,
43,New folder__set_002__step_00202150,New folder__set_002__step_00202100,0,
44,New folder__set_002__step_00202200,New folder__set_002__step_00202150,0,
45,New folder__set_002__step_00202250,New folder__set_002__step_00202200,0,
46,New folder__set_002__step_00202300,New folder__set_002__step_00202250,0,
47,New folder__set_002__step_00202350,New folder__set_002__step_00202300,0,
48,New folder__set_002__step_00202400,New folder__set_002__step_00202350,0,
49,New folder__set_002__step_00202450,New folder__set_002__step_00202400,0,
50,New folder__set_002__step_00202500,New folder__set_002__step_00202450,1,"{water-surface,broken,639,1052,surface,water,O,H,H-O,1.161477,}"
51,New folder__set_002__step_00202550,New folder__set_002__step_00202500,1,"{water-surface,formed,639,1052,surface,water,O,H,H-O,,1.037852}"
52,New folder__set_002__step_00202600,New folder__set_002__step_00202550,0,
53,New folder__set_002__step_00202650,New folder__set_002__step_00202600,0,
54,New folder__set_002__step_00202700,New folder__set_002__step_00202650,0,
55,New folder__set_002__step_00202750,New folder__set_002__step_00202700,0,
56,New folder__set_002__step_00202800,New folder__set_002__step_00202750,0,
57,New folder__set_002__step_00202850,New folder__set_002__step_00202800,0,
58,New folder__set_002__step_00202900,New folder__set_002__step_00202850,0,
59,New folder__set_002__step_00202950,New folder__set_002__step_00202900,0,
60,New folder__set_002__step_00203000,New folder__set_002__step_00202950,0,
61,New folder__set_002__step_00203050,New folder__set_002__step_00203000,0,
62,New folder__set_002__step_00203100,New folder__set_002__step_00203050,1,"{water-surface,broken,639,1052,surface,water,O,H,H-O,1.042014,}"
63,New folder__set_002__step_00203150,New folder__set_002__step_00203100,1,"{water-surface,broken,913,1050,surface,water,Zn,O,O-Zn,2.016542,}"
64,New folder__set_002__step_00203200,New folder__set_002__step_00203150,0,
