structure,chain_position,atom_label,role,height_from_top_surface_A,nearest_surface_atom_label,nearest_surface_atom_symbol,nearest_surface_atom_distance_A,second_nearest_surface_atom_label,second_nearest_surface_atom_symbol,second_nearest_surface_atom_distance_A
2-ketone,1,C2,alpha_carbon,2.620493,O123,O,3.467902,Zn139,Zn,3.615595
2-ketone,2,C1,carbonyl_carbon,2.592239,Zn139,Zn,3.095091,O139,O,3.220915
2-ketone,3,C3,alpha_carbon,3.560598,O139,O,3.731344,Zn139,Zn,4.382757
2-ketone,4,C4,chain,3.525256,O129,O,3.915723,O139,O,4.185431
2-ketone,5,C5,chain,4.507489,O129,O,4.558083,O139,O,5.234339
2-ketone,6,C6,chain,4.475555,O129,O,4.577309,O121,O,5.088056
2-ketone,7,C7,chain,5.410427,O129,O,5.700561,O121,O,5.723556
2-ketone,8,C8,chain,5.380606,O121,O,5.43273,Zn125,Zn,5.941047
2-ketone,9,C9,chain,6.306459,O121,O,6.546246,Zn125,Zn,6.766632
3-ketone,1,C1,chain,2.984685,Zn128,Zn,3.57333,Zn144,Zn,3.937926
3-ketone,2,C2,alpha_carbon,2.809469,O128,O,3.583831,O144,O,3.599017
3-ketone,3,C3,carbonyl_carbon,2.637747,Zn144,Zn,3.142725,O144,O,3.202866
3-ketone,4,C4,alpha_carbon,3.506511,O144,O,3.748609,Zn144,Zn,4.36918
3-ketone,5,C5,chain,3.319499,O134,O,3.688953,O144,O,4.252729
3-ketone,6,C6,chain,4.275777,O134,O,4.311266,Zn129,Zn,5.248604
3-ketone,7,C7,chain,4.06687,O134,O,4.380401,O126,O,4.539829
3-ketone,8,C8,chain,5.003106,O126,O,5.106321,O134,O,5.527083
3-ketone,9,C9,chain,4.791502,O126,O,4.839534,O142,O,5.54295
4-ketone,1,C1,chain,3.314109,Zn131,Zn,3.975921,O131,O,4.044404
4-ketone,2,C2,chain,3.09597,Zn131,Zn,3.713279,Zn137,Zn,4.038989
4-ketone,3,C3,alpha_carbon,2.885783,O137,O,3.566319,O131,O,3.65425
4-ketone,4,C4,carbonyl_carbon,2.65851,Zn137,Zn,3.162709,O137,O,3.211344
4-ketone,5,C5,alpha_carbon,3.505008,O137,O,3.803488,O121,O,4.321588
4-ketone,6,C6,chain,3.245126,O121,O,3.636307,Zn97,Zn,4.251563
4-ketone,7,C7,chain,4.227267,O121,O,4.301589,Zn105,Zn,5.299353
4-ketone,8,C8,chain,3.940386,O121,O,4.386948,O129,O,4.408513
4-ketone,9,C9,chain,4.925809,O129,O,5.004579,O121,O,5.576389
5-ketone,1,C1,chain,4.466868,O133,O,4.726216,O143,O,4.953302
5-ketone,2,C2,chain,4.546329,O133,O,4.581885,Zn130,Zn,5.509749
5-ketone,3,C3,chain,3.510065,O133,O,3.877946,O125,O,4.395719
5-ketone,4,C4,alpha_carbon,3.61234,O125,O,3.850808,Zn125,Zn,4.396065
5-ketone,5,C5,carbonyl_carbon,2.670438,Zn125,Zn,3.132353,O125,O,3.247183
5-ketone,6,C6,alpha_carbon,2.823253,O141,O,3.638676,O125,O,3.64766
5-ketone,7,C7,chain,3.073832,Zn141,Zn,3.650951,Zn125,Zn,3.946851
5-ketone,8,C8,chain,3.291042,Zn141,Zn,3.840264,O137,O,4.210574
5-ketone,9,C9,chain,3.500646,O137,O,3.973126,O131,O,4.186328
