file,motif,segment,atom_path,bond_type,i,j,distance_A
acid1_relaxed.cif,,,,C-O,136,289,3.086868
acid1_relaxed.cif,,,,C-O,288,292,5.498115
acid1_relaxed.cif,,,,C=C,288,289,6.435546
acid1_relaxed.cif,enol_surface_adsorption,1,136-289-288-292,Zn-O,136,289,3.086868
acid1_relaxed.cif,enol_surface_adsorption,2,136-289-288-292,O-C,289,288,6.435546
acid1_relaxed.cif,enol_surface_adsorption,3,136-289-288-292,C-O,288,292,5.498115
acid2_relaxed.cif,,,,C-O,136,289,3.135724
acid2_relaxed.cif,,,,C-O,288,292,5.421643
acid2_relaxed.cif,,,,C=C,288,289,6.431728
acid2_relaxed.cif,enol_surface_adsorption,1,136-289-288-292,Zn-O,136,289,3.135724
acid2_relaxed.cif,enol_surface_adsorption,2,136-289-288-292,O-C,289,288,6.431728
acid2_relaxed.cif,enol_surface_adsorption,3,136-289-288-292,C-O,288,292,5.421643
acid3_relaxed.cif,,,,C-O,136,289,3.155719
acid3_relaxed.cif,,,,C-O,288,292,5.663044
acid3_relaxed.cif,,,,C=C,288,289,6.630390
acid3_relaxed.cif,enol_surface_adsorption,1,136-289-288-292,Zn-O,136,289,3.155719
acid3_relaxed.cif,enol_surface_adsorption,2,136-289-288-292,O-C,289,288,6.630390
acid3_relaxed.cif,enol_surface_adsorption,3,136-289-288-292,C-O,288,292,5.663044
NEB1.cif,,,,C-O,136,289,5.475728
NEB1.cif,,,,C-O,288,292,2.188052
NEB1.cif,,,,C=C,288,289,1.099587
NEB1.cif,enol_surface_adsorption,1,136-289-288-292,Zn-O,136,289,5.475728
NEB1.cif,enol_surface_adsorption,2,136-289-288-292,O-C,289,288,1.099587
NEB1.cif,enol_surface_adsorption,3,136-289-288-292,C-O,288,292,2.188052
NEB2.cif,,,,C-O,136,289,5.475955
NEB2.cif,,,,C-O,288,292,2.188103
NEB2.cif,,,,C=C,288,289,1.099433
NEB2.cif,enol_surface_adsorption,1,136-289-288-292,Zn-O,136,289,5.475955
NEB2.cif,enol_surface_adsorption,2,136-289-288-292,O-C,289,288,1.099433
NEB2.cif,enol_surface_adsorption,3,136-289-288-292,C-O,288,292,2.188103
NEB3.cif,,,,C-O,136,289,1.442876
NEB3.cif,,,,C-O,288,292,1.337926
NEB3.cif,,,,C=C,288,289,1.361923
NEB3.cif,enol_surface_adsorption,1,136-289-288-292,Zn-O,136,289,1.442876
NEB3.cif,enol_surface_adsorption,2,136-289-288-292,O-C,289,288,1.361923
NEB3.cif,enol_surface_adsorption,3,136-289-288-292,C-O,288,292,1.337926
NEB4.cif,,,,C-O,136,289,1.443287
NEB4.cif,,,,C-O,288,292,1.337931
NEB4.cif,,,,C=C,288,289,1.361907
NEB4.cif,enol_surface_adsorption,1,136-289-288-292,Zn-O,136,289,1.443287
NEB4.cif,enol_surface_adsorption,2,136-289-288-292,O-C,289,288,1.361907
NEB4.cif,enol_surface_adsorption,3,136-289-288-292,C-O,288,292,1.337931
neb_state5.cif,,,,C-O,136,289,1.621672
neb_state5.cif,,,,C-O,288,292,1.489401
neb_state5.cif,,,,C=C,288,289,1.543118
neb_state5.cif,enol_surface_adsorption,1,136-289-288-292,Zn-O,136,289,1.621672
neb_state5.cif,enol_surface_adsorption,2,136-289-288-292,O-C,289,288,1.543118
neb_state5.cif,enol_surface_adsorption,3,136-289-288-292,C-O,288,292,1.489401
neb_state6.cif,,,,C-O,136,289,3.463061
neb_state6.cif,,,,C-O,288,292,2.900207
neb_state6.cif,,,,C=C,288,289,6.681007
neb_state6.cif,enol_surface_adsorption,1,136-289-288-292,Zn-O,136,289,3.463061
neb_state6.cif,enol_surface_adsorption,2,136-289-288-292,O-C,289,288,6.681007
neb_state6.cif,enol_surface_adsorption,3,136-289-288-292,C-O,288,292,2.900207
neb_state7.cif,,,,C-O,136,289,1.621672
neb_state7.cif,,,,C-O,288,292,1.489401
neb_state7.cif,,,,C=C,288,289,1.543118
neb_state7.cif,enol_surface_adsorption,1,136-289-288-292,Zn-O,136,289,1.621672
neb_state7.cif,enol_surface_adsorption,2,136-289-288-292,O-C,289,288,1.543118
neb_state7.cif,enol_surface_adsorption,3,136-289-288-292,C-O,288,292,1.489401
