frame_index,frame_label,structure_path,label,selection_score,surface_water_intact_score,surface_water_dissociated_score,surface_intermediate_score,water_intact_intermediate_score,water_dissociated_intermediate_score,vdw_total_score,surface_water_intact_min_distance,surface_water_dissociated_min_distance,surface_intermediate_min_distance,water_intact_intermediate_min_distance,water_dissociated_intermediate_min_distance,surface_water_intact_lj_sum,surface_water_dissociated_lj_sum,surface_intermediate_lj_sum,water_intact_intermediate_lj_sum,water_dissociated_intermediate_lj_sum,surface_water_intact_close_contacts,surface_water_dissociated_close_contacts,surface_intermediate_close_contacts,water_intact_intermediate_close_contacts,water_dissociated_intermediate_close_contacts,surface_atom_count,water_intact_atom_count,water_dissociated_atom_count,intermediate_atom_count,event_count,event_formed_count,event_broken_count,event_pair_cc,event_pair_co,event_pair_ozn,event_pair_ho,interface_organic_surface,interface_water_surface,interface_organic_water,interface_total,event_delta,vdw_event_coupling
1,New folder__set_002__step_00200050,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,125.000000,63.000000,62.000000,0.000000,0.000000,117.000000,8.000000,0.000000,2.000000,0.000000,2.000000,1.000000,0.000000
2,New folder__set_002__step_00200100,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,102.000000,51.000000,51.000000,0.000000,0.000000,100.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,New folder__set_002__step_00200150,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.000000,64.000000,50.000000,0.000000,0.000000,111.000000,3.000000,0.000000,0.000000,0.000000,0.000000,14.000000,0.000000
4,New folder__set_002__step_00200200,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.000000,53.000000,57.000000,0.000000,0.000000,104.000000,6.000000,0.000000,1.000000,0.000000,1.000000,-4.000000,0.000000
5,New folder__set_002__step_00200250,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,49.000000,60.000000,0.000000,0.000000,108.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-11.000000,0.000000
6,New folder__set_002__step_00200300,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117.000000,56.000000,61.000000,0.000000,0.000000,110.000000,7.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,0.000000
7,New folder__set_002__step_00200350,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,102.000000,52.000000,50.000000,0.000000,0.000000,100.000000,2.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000
8,New folder__set_002__step_00200400,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,58.000000,57.000000,0.000000,0.000000,114.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000
9,New folder__set_002__step_00200450,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.000000,65.000000,45.000000,0.000000,0.000000,107.000000,3.000000,0.000000,1.000000,0.000000,1.000000,20.000000,0.000000
10,New folder__set_002__step_00200500,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106.000000,51.000000,55.000000,0.000000,0.000000,100.000000,6.000000,0.000000,1.000000,0.000000,1.000000,-4.000000,0.000000
11,New folder__set_002__step_00200550,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.000000,58.000000,55.000000,0.000000,0.000000,104.000000,9.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000
12,New folder__set_002__step_00200600,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,45.000000,70.000000,0.000000,0.000000,112.000000,3.000000,0.000000,0.000000,0.000000,0.000000,-25.000000,0.000000
13,New folder__set_002__step_00200650,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.000000,67.000000,55.000000,0.000000,0.000000,117.000000,5.000000,0.000000,1.000000,0.000000,1.000000,12.000000,0.000000
14,New folder__set_002__step_00200700,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,104.000000,55.000000,49.000000,0.000000,0.000000,103.000000,1.000000,0.000000,0.000000,0.000000,0.000000,6.000000,0.000000
15,New folder__set_002__step_00200750,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.000000,51.000000,40.000000,0.000000,0.000000,86.000000,5.000000,0.000000,0.000000,0.000000,0.000000,11.000000,0.000000
16,New folder__set_002__step_00200800,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.000000,50.000000,63.000000,0.000000,0.000000,108.000000,5.000000,0.000000,0.000000,0.000000,0.000000,-13.000000,0.000000
17,New folder__set_002__step_00200850,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,116.000000,54.000000,62.000000,0.000000,0.000000,109.000000,7.000000,0.000000,1.000000,0.000000,1.000000,-8.000000,0.000000
18,New folder__set_002__step_00200900,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.000000,54.000000,53.000000,0.000000,0.000000,106.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
19,New folder__set_002__step_00200950,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.000000,58.000000,50.000000,0.000000,0.000000,105.000000,3.000000,0.000000,1.000000,0.000000,1.000000,8.000000,0.000000
20,New folder__set_002__step_00201000,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,95.000000,50.000000,45.000000,0.000000,0.000000,94.000000,1.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000
21,New folder__set_002__step_00201050,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.000000,40.000000,67.000000,0.000000,0.000000,104.000000,3.000000,0.000000,0.000000,0.000000,0.000000,-27.000000,0.000000
22,New folder__set_002__step_00201100,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.000000,61.000000,44.000000,0.000000,0.000000,104.000000,1.000000,0.000000,1.000000,0.000000,1.000000,17.000000,0.000000
23,New folder__set_002__step_00201150,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.000000,54.000000,53.000000,0.000000,0.000000,104.000000,3.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
24,New folder__set_002__step_00201200,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,51.000000,48.000000,0.000000,0.000000,96.000000,3.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000
25,New folder__set_002__step_00201250,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.000000,58.000000,49.000000,0.000000,0.000000,107.000000,0.000000,0.000000,1.000000,0.000000,1.000000,9.000000,0.000000
26,New folder__set_002__step_00201300,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,45.000000,45.000000,0.000000,0.000000,82.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,New folder__set_002__step_00201350,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89.000000,41.000000,48.000000,0.000000,0.000000,83.000000,6.000000,0.000000,0.000000,0.000000,0.000000,-7.000000,0.000000
28,New folder__set_002__step_00201400,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.000000,56.000000,58.000000,0.000000,0.000000,104.000000,10.000000,0.000000,2.000000,0.000000,2.000000,-2.000000,0.000000
29,New folder__set_002__step_00201450,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.000000,53.000000,45.000000,0.000000,0.000000,92.000000,6.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000
30,New folder__set_002__step_00201500,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,95.000000,45.000000,50.000000,0.000000,0.000000,93.000000,2.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,0.000000
31,New folder__set_002__step_00201550,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,97.000000,49.000000,48.000000,0.000000,0.000000,94.000000,3.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,New folder__set_002__step_00201600,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,53.000000,47.000000,0.000000,0.000000,93.000000,7.000000,0.000000,0.000000,0.000000,0.000000,6.000000,0.000000
33,New folder__set_002__step_00201650,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,97.000000,49.000000,48.000000,0.000000,0.000000,92.000000,5.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
34,New folder__set_002__step_00201700,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.000000,45.000000,65.000000,0.000000,0.000000,105.000000,5.000000,0.000000,0.000000,0.000000,0.000000,-20.000000,0.000000
35,New folder__set_002__step_00201750,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.000000,56.000000,66.000000,0.000000,0.000000,116.000000,6.000000,0.000000,0.000000,0.000000,0.000000,-10.000000,0.000000
36,New folder__set_002__step_00201800,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,104.000000,59.000000,45.000000,0.000000,0.000000,102.000000,2.000000,0.000000,0.000000,0.000000,0.000000,14.000000,0.000000
37,New folder__set_002__step_00201850,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.000000,54.000000,68.000000,0.000000,0.000000,117.000000,5.000000,0.000000,0.000000,0.000000,0.000000,-14.000000,0.000000
38,New folder__set_002__step_00201900,,1,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117.000000,68.000000,49.000000,0.000000,0.000000,112.000000,5.000000,0.000000,0.000000,0.000000,0.000000,19.000000,0.000000
