binding_energy_eV,intensity,background,co2_peak,co3_peak,fitted
7.688949999999999818e+02,-3.892309999999999803e+01,-3.892195706497906826e+01,1.369102071125558011e-18,6.274724534680197063e-64,-3.892195706497906826e+01
7.689950000000000045e+02,-3.815520000000000067e+01,-3.815390756722427312e+01,3.387009922873533730e-18,6.358815461272479352e-63,-3.815390756722427312e+01
7.690950000000000273e+02,-3.716279999999999717e+01,-3.716134788013506096e+01,8.307496183116484192e-18,6.329238796710774679e-62,-3.716134788013506096e+01
7.691950000000000500e+02,-3.516460000000000008e+01,-3.516301496380854275e+01,2.020211652196255338e-17,6.187574552968035910e-61,-3.516301496380854275e+01
7.692949999999999591e+02,-3.252380000000000138e+01,-3.252210888225813790e+01,4.870758901292464963e-17,5.941322283275032925e-60,-3.252210888225813790e+01
7.693949999999999818e+02,-2.914979999999999905e+01,-2.914805157605935548e+01,1.164312161824613566e-16,5.603243300667374624e-59,-2.914805157605935548e+01
7.694950000000000045e+02,-2.514669999999999916e+01,-2.514496007617719542e+01,2.759403906653724041e-16,5.190265250775992665e-58,-2.514496007617719542e+01
7.695950000000000273e+02,-2.054560000000000031e+01,-2.054396014474178145e+01,6.483867862492974774e-16,4.722079875839050562e-57,-2.054396014474178145e+01
7.696950000000000500e+02,-1.546829999999999927e+01,-1.546687581626909491e+01,1.510518596007466880e-15,4.219595379271345174e-56,-1.546687581626909314e+01
7.697949999999999591e+02,-1.010089999999999932e+01,-1.009982719834724740e+01,3.488920204544283993e-15,3.703411665664489903e-55,-1.009982719834724385e+01
7.698949999999999818e+02,-4.654080000000000439e+00,-4.653509798714416057e+00,7.989673592675557112e-15,3.192470373124684019e-54,-4.653509798714408063e+00
7.699950000000000045e+02,6.800270000000000481e-01,6.799308931368744924e-01,1.814011673205758118e-14,2.702996380279284889e-53,6.799308931368925890e-01
7.700950000000000273e+02,5.743669999999999831e+00,5.742733623794631370e+00,4.083420996689489099e-14,2.247800460207112241e-52,5.742733623794672226e+00
7.701950000000000500e+02,1.046840000000000082e+01,1.046643133239716050e+01,9.113417733587906104e-14,1.835962264378842327e-51,1.046643133239725110e+01
7.702949999999999591e+02,1.486730000000000018e+01,1.486407482178550410e+01,2.016561342274021163e-13,1.472866718082216496e-50,1.486407482178570660e+01
7.703949999999999818e+02,1.894630000000000081e+01,1.894155895995277916e+01,4.423995099321156671e-13,1.160531278086401839e-49,1.894155895995322325e+01
7.704950000000000045e+02,2.265859999999999985e+01,2.265205954944016042e+01,9.622565518799068916e-13,8.981398251085556316e-49,2.265205954944112321e+01
7.705950000000000273e+02,2.587349999999999994e+01,2.586488505331704957e+01,2.075105379800867606e-12,6.826919183239289145e-48,2.586488505331912435e+01
7.706950000000000500e+02,2.835989999999999966e+01,2.834900764038943066e+01,4.436724641105970644e-12,5.096819720194676501e-47,2.834900764039386800e+01
7.707949999999999591e+02,2.983409999999999940e+01,2.982088258057170904e+01,9.404979103173343986e-12,3.737381971251471854e-46,2.982088258058111307e+01
7.708949999999999818e+02,3.005870000000000175e+01,3.004333910757868864e+01,1.976633875606373922e-11,2.691717036671598624e-45,3.004333910759845594e+01
7.709950000000000045e+02,2.890309999999999846e+01,2.888606278250957260e+01,4.118771254020484531e-11,1.904079264130675088e-44,2.888606278255075921e+01
7.710950000000000273e+02,2.639880000000000138e+01,2.638085096163438337e+01,8.509071086966160688e-11,1.322922329237267633e-43,2.638085096171947441e+01
7.711950000000000500e+02,2.274010000000000176e+01,2.272226610948824188e+01,1.742888765967472197e-10,9.027705296569199228e-43,2.272226610966253091e+01
7.712949999999999591e+02,1.823809999999999931e+01,1.822160231196410152e+01,3.539404748458604932e-10,6.050818179889015453e-42,1.822160231231804062e+01
7.713949999999999818e+02,1.326050000000000040e+01,1.324666480963658444e+01,7.126295512542279172e-10,3.983313938176536042e-41,1.324666481034921439e+01
7.714950000000000045e+02,8.174210000000000420e+00,8.164373433741797470e+00,1.422559584361644258e-09,2.575542210875570767e-40,8.164373435164357318e+00
7.715950000000000273e+02,3.290739999999999998e+00,3.286172767483896973e+00,2.815465073737402349e-09,1.635635436825615492e-39,3.286172770299362167e+00
7.716950000000000500e+02,-1.148039999999999949e+00,-1.146202336084014339e+00,5.524625737186802396e-09,1.020229914683059557e-38,-1.146202330559388693e+00
7.717949999999999591e+02,-4.960650000000000226e+00,-4.951492372339110659e+00,1.074802382015985630e-08,6.250335060234018371e-38,-4.951492361591086855e+00
7.718949999999999818e+02,-8.032310000000000727e+00,-8.015209696239349313e+00,2.073134209264541509e-08,3.760990598461959416e-37,-8.015209675508007336e+00
7.719950000000000045e+02,-1.030419999999999980e+01,-1.027890249146495805e+01,3.964598896813117573e-08,2.222771909303464017e-36,-1.027890245181896844e+01
7.720950000000000273e+02,-1.177500000000000036e+01,-1.174166482398794820e+01,7.516992784262174922e-08,1.290271946213800675e-35,-1.174166474881802102e+01
7.721950000000000500e+02,-1.249000000000000021e+01,-1.244922841661299806e+01,1.413064711229479402e-07,7.356331859214414197e-35,-1.244922827530652754e+01
7.722949999999999591e+02,-1.255070000000000086e+01,-1.250346243474125885e+01,2.633619372282525450e-07,4.119410525264845315e-34,-1.250346217137932214e+01
7.723949999999999818e+02,-1.209360000000000035e+01,-1.204112332803345353e+01,4.866503110490810032e-07,2.265700700055496090e-33,-1.204112284138314237e+01
7.724950000000000045e+02,-1.126650000000000063e+01,-1.121014240156700303e+01,8.915671170137708563e-07,1.223950084268502085e-32,-1.121014150999988601e+01
7.725950000000000273e+02,-1.019170000000000087e+01,-1.013293500889979448e+01,1.619437230102911815e-06,6.494094102118332222e-32,-1.013293338946256483e+01
7.726950000000000500e+02,-8.981769999999999143e+00,-8.922081362473223365e+00,2.916400983907160860e-06,3.384286733439028809e-31,-8.922078446072239544e+00
7.727949999999999591e+02,-7.709100000000000286e+00,-7.650061882200137831e+00,5.207189619275551277e-06,1.732245447777150590e-30,-7.650056675010518781e+00
7.728949999999999818e+02,-6.409729999999999706e+00,-6.353171200553141773e+00,9.217912669361738530e-06,8.708541165397390122e-30,-6.353161982640472161e+00
7.729950000000000045e+02,-5.118380000000000152e+00,-5.066350823511534429e+00,1.617837231647185572e-05,4.300065714919518342e-29,-5.066334645139217940e+00
7.730950000000000273e+02,-3.884819999999999940e+00,-3.839336907586452519e+00,2.815205498043535964e-05,2.085443745767648732e-28,-3.839308755531471995e+00
7.731950000000000500e+02,-2.730970000000000120e+00,-2.694152189792699659e+00,4.856891683944239928e-05,9.933803597769766955e-28,-2.694103620875860194e+00
7.732949999999999591e+02,-1.660730000000000040e+00,-1.634955874760885663e+00,8.307680275535226538e-05,4.647574522895075921e-27,-1.634872797958130342e+00
7.733949999999999818e+02,-6.436929999999999596e-01,-6.321963333358245896e-01,1.408880538567539736e-04,2.135653828328898010e-26,-6.320554452819678870e-01
7.734950000000000045e+02,4.342239999999999989e-01,4.253020555046728157e-01,2.368872061296589931e-04,9.638935140255961789e-26,4.255389427108024480e-01
7.735950000000000273e+02,1.762320000000000109e+00,1.720680609063719002e+00,3.948954060770538520e-04,4.272882600238417515e-25,1.721075504469796069e+00
7.736950000000000500e+02,3.541349999999999998e+00,3.445176020215463542e+00,6.526729248498574793e-04,1.860401008374009172e-24,3.445828693140313259e+00
7.737949999999999591e+02,5.938819999999999766e+00,5.753542134601775437e+00,1.069503357778677855e-03,7.955836971781384415e-24,5.754611637959554216e+00
7.738949999999999818e+02,9.022949999999999804e+00,8.699774589494055022e+00,1.737567751495781810e-03,3.341634047093239252e-23,8.701512157245550938e+00
7.739950000000000045e+02,1.270969999999999978e+01,1.218744218714760841e+01,2.798816224381774423e-03,1.378559776179452326e-22,1.219024100337199101e+01
7.740950000000000273e+02,1.676529999999999987e+01,1.597558356489130560e+01,4.469717320488699602e-03,5.585808220499340833e-22,1.598005328221179511e+01
7.741950000000000500e+02,2.086560000000000059e+01,1.973995199686548929e+01,7.077156063840532065e-03,2.223003479191396194e-21,1.974702915292932914e+01
7.742949999999999591e+02,2.467640000000000100e+01,2.315335573630664001e+01,1.110990965798777132e-02,8.689363536189790101e-21,2.316446564596462920e+01
7.743949999999999818e+02,2.796630000000000038e+01,2.599382782136365577e+01,1.729160563103700199e-02,3.336026524726666946e-20,2.601111942699469282e+01
7.744950000000000045e+02,3.064859999999999829e+01,2.818170857536661700e+01,2.668290785970808474e-02,1.257953900678305843e-19,2.820839148322632539e+01
7.745950000000000273e+02,3.280250000000000199e+01,2.979397747218614612e+01,4.082291670887589624e-02,4.659010190523240424e-19,2.983480038889502239e+01
7.746950000000000500e+02,3.463380000000000081e+01,3.102041339179119817e+01,6.192242347634226152e-02,1.694791580356664892e-18,3.108233581526754108e+01
7.747949999999999591e+02,3.641470000000000340e+01,3.210119666452206388e+01,9.312470268876701929e-02,6.055257808149178212e-18,3.219432136721083282e+01
7.748949999999999818e+02,3.836370000000000147e+01,3.321512675054287911e+01,1.388528803689972335e-01,2.124920479183325042e-17,3.335397963091187989e+01
7.749950000000000045e+02,4.062180000000000035e+01,3.445999130513511233e+01,2.052664290211490550e-01,7.323967846744372189e-17,3.466525773415626333e+01
7.750950000000000273e+02,4.321059999999999945e+01,3.582167862785346557e+01,3.008527605097897073e-01,2.479384484242351314e-16,3.612253138836325661e+01
7.751950000000000500e+02,4.604829999999999757e+01,3.719736169935305270e+01,4.371828474214821680e-01,8.243943987466258130e-16,3.763454454677453498e+01
7.752949999999999591e+02,4.895570000000000022e+01,3.841213109319159003e+01,6.298617968953649227e-01,2.692277915702778844e-15,3.904199289008695217e+01
7.753949999999999818e+02,5.173729999999999762e+01,3.929504516546600001e+01,8.997056776946604773e-01,8.635717928061777643e-15,4.019475084316066926e+01
7.754950000000000045e+02,5.418970000000000198e+01,3.969182312936367651e+01,1.274173869335459175e+00,2.720637695676667441e-14,4.096599699869916122e+01
7.755950000000000273e+02,5.616040000000000276e+01,3.951194798305827760e+01,1.789080851268034733e+00,8.418538008921550235e-14,4.130102883432639516e+01
7.756950000000000500e+02,5.758299999999999841e+01,3.874884225082740130e+01,2.490601701071279983e+00,2.558564360705362240e-13,4.123944395189893442e+01
7.757949999999999591e+02,5.854099999999999682e+01,3.750948289603994112e+01,3.437570654126035574e+00,7.637473535484253331e-13,4.094705355016673565e+01
7.758949999999999818e+02,5.925209999999999866e+01,3.598009250984687668e+01,4.704051046613007436e+00,2.239220151360201492e-12,4.068414355646212499e+01
7.759950000000000045e+02,6.009680000000000177e+01,3.441716966275124179e+01,6.382127240274305890e+00,6.448186238520534546e-12,4.079929690303200118e+01
7.760950000000000273e+02,6.156089999999999662e+01,3.308467119988994654e+01,8.584834573635133026e+00,1.823778342687829031e-11,4.166950577354332097e+01
7.761950000000000500e+02,6.414079999999999870e+01,3.218494472551694940e+01,1.144910249261904411e+01,5.066408913637363361e-11,4.363404721818665166e+01
7.762949999999999591e+02,6.823050000000000637e+01,3.180384384005012777e+01,1.513854009344780316e+01,1.382363083176402959e-10,4.694238393363616524e+01
7.763949999999999818e+02,7.407630000000000337e+01,3.191238378204908344e+01,1.984584464922236435e+01,3.704569258082414674e-10,5.175822843164190346e+01
7.764950000000000045e+02,8.170019999999999527e+01,3.236759227386678361e+01,2.579456565515551603e+01,9.750951872325621576e-10,5.816215792999739165e+01
7.765950000000000273e+02,9.091299999999999670e+01,3.296111674471926278e+01,3.323991397402176773e+01,2.520867449484876392e-09,6.620103072126190114e+01
7.766950000000000500e+02,1.014210000000000065e+02,3.349233968071260392e+01,4.246827322771540025e+01,6.400983552629355136e-09,7.596061291482898525e+01
7.767949999999999591e+02,1.129489999999999981e+02,3.382068891038733227e+01,5.379505481103022646e+01,1.596383076862779442e-08,8.761574373738139343e+01
7.768949999999999818e+02,1.253299999999999983e+02,3.388279114345998266e+01,6.756054522690409669e+01,3.910400342997330148e-08,1.014433364094680883e+02
7.769950000000000045e+02,1.386270000000000095e+02,3.370142855692068196e+01,8.412343096620254812e+01,9.408037343640643158e-08,1.178248596172036002e+02
7.770950000000000273e+02,1.532249999999999943e+02,3.337151792880856505e+01,1.038517569303599686e+02,2.223159110324920896e-07,1.372232750814844451e+02
7.771950000000000500e+02,1.697920000000000016e+02,3.301411455747524570e+01,1.271111825822623729e+02,5.159834388935821419e-07,1.601252976557210559e+02
7.772949999999999591e+02,1.892129999999999939e+02,3.274019520492945645e+01,1.542505460447721077e+02,1.176236582565490623e-06,1.869907424259381514e+02
7.773949999999999818e+02,2.125070000000000050e+02,3.262744384800141262e+01,1.855849271996576135e+02,2.633584790359054897e-06,2.182123736812438040e+02
7.774950000000000045e+02,2.406920000000000073e+02,3.270385575453148164e+01,2.213766093969144890e+02,5.791534282944639944e-06,2.540804709429802415e+02
7.775950000000000273e+02,2.746340000000000146e+02,3.294415004188101648e+01,2.618145643401563234e+02,1.250931880337904592e-05,2.947587268913561616e+02
7.776950000000000500e+02,3.149689999999999941e+02,3.328455686273471059e+01,3.069933106838221875e+02,2.653795132736534734e-05,3.402778940845082047e+02
7.777949999999999591e+02,3.620840000000000032e+02,3.364322893837399420e+01,3.568922051331244916e+02,5.529614163265644979e-05,3.905354893676400820e+02
