number,value,datetime_start,datetime_complete,duration,params_background_amplitude_fraction,params_background_center,params_background_offset,params_background_width,params_peak_1_amplitude_fraction,params_peak_1_center,params_peak_1_sigma,params_peak_2_amplitude_fraction,params_peak_2_center,params_peak_2_sigma,system_attrs_fixed_params,state
0,1000.0126582278481,2026-07-17 16:29:06.143581,2026-07-17 16:29:06.144582,0 days 00:00:00.001001,-0.04565173362716924,780.0450000000001,4.50849,0.7899999999999978,0.5,780.0450000000001,1.55,0.5,780.0450000000001,1.55,"{'background_offset': 4.50849, 'background_amplitude_fraction': -0.04565173362716924, 'background_center': 780.0450000000001, 'background_width': 0.7899999999999978, 'peak_1_amplitude_fraction': 0.5, 'peak_1_center': 780.0450000000001, 'peak_1_sigma': 1.55, 'peak_2_amplitude_fraction': 0.5, 'peak_2_center': 780.0450000000001, 'peak_2_sigma': 1.55}",COMPLETE
1,0.8000760345162252,2026-07-17 16:29:06.144582,2026-07-17 16:29:06.145625,0 days 00:00:00.001043,0.8397563767203438,779.5584329283831,-188.71829536895945,2.359756119762022,1.4669842679949041,780.3491173762425,1.55324934461382,0.10807670003964231,778.2156679428048,1.549659252394124,,COMPLETE
2,1.1575317329020431,2026-07-17 16:29:06.145625,2026-07-17 16:29:06.147629,0 days 00:00:00.002004,0.9112171083131262,779.1044349518735,753.1445233618963,0.1333897928750789,0.4322183989619903,783.2807888689849,0.7188175253817549,0.6781859427265247,783.4515275555433,0.17220775989600923,,COMPLETE
3,2.1821625848504915,2026-07-17 16:29:06.147629,2026-07-17 16:29:06.148629,0 days 00:00:00.001000,1.350388501240937,777.9143927442657,630.231744314129,1.0985740346594772,1.3636925623300968,777.1470386214982,1.617896483953921,1.1256147886530523,781.380204602983,1.4564832932604441,,COMPLETE
4,0.4189493771019432,2026-07-17 16:29:06.149630,2026-07-17 16:29:06.151639,0 days 00:00:00.002009,-0.02770233272678868,779.036839046142,12.083566174987197,0.8052474623454742,0.5488355786708894,782.7145521550432,2.329077768906577,0.47099201581899325,780.6187401278872,0.9005422401590157,,COMPLETE
5,0.8964490127809188,2026-07-17 16:29:06.151639,2026-07-17 16:29:06.153683,0 days 00:00:00.002044,-0.4410649021668158,781.2884557559601,399.4907148550514,0.5044152967256912,0.6886394668371472,781.7776605678214,1.2976763044301203,1.359634903746508,777.5205677917012,2.2492447314484663,,COMPLETE
6,0.5660555823413681,2026-07-17 16:29:06.153683,2026-07-17 16:29:06.153683,0 days 00:00:00,-0.22063928194517302,781.1066009622074,351.89330168368457,0.9823833049609625,0.6223289676591648,776.1062723564459,0.367560802955581,1.064091590587819,780.237330214445,2.11886534419921,,COMPLETE
7,2.265291772644361,2026-07-17 16:29:06.153683,2026-07-17 16:29:06.156082,0 days 00:00:00.002399,0.5487415631262524,776.5147166563164,1184.674200079518,0.38555578341493424,0.8888920309850594,777.952451217334,2.898415898654768,1.4175723356891907,782.7973669586178,1.4697395892363667,,COMPLETE
8,0.44793966891673076,2026-07-17 16:29:06.156082,2026-07-17 16:29:06.157080,0 days 00:00:00.000998,-1.1066680729562584,778.5339958926529,1006.600569424767,0.7561265725136751,1.1127708010252002,779.9330193068002,0.4969407445126075,0.5153047945565374,778.6579667404123,0.9712148225223152,,COMPLETE
9,0.7484711640263871,2026-07-17 16:29:06.157080,2026-07-17 16:29:06.158103,0 days 00:00:00.001023,-0.255294682280244,779.6351531942715,-49.383993610971004,2.954418037925568,1.1945860511738227,780.2218820112128,1.435827858873503,1.167320402315845,783.1045827196366,2.057264432613684,,COMPLETE
