binding_energy_eV,intensity,background,peak_1,peak_2,fitted
7.760950000000000273e+02,6.156089999999999662e+01,-1.861433607647266513e+02,7.967210645633318045e+00,6.689445167832165851e+01,-1.112816984407716774e+02
7.761950000000000500e+02,6.414079999999999870e+01,-1.842060338558633816e+02,1.058106945025634538e+01,7.373820735660515879e+01,-9.988675704900187213e+01
7.762949999999999591e+02,6.823050000000000637e+01,-1.822405136064685678e+02,1.392964993342873825e+01,8.105053660017429706e+01,-8.726032707286553602e+01
7.763949999999999818e+02,7.407630000000000337e+01,-1.802467758292340250e+02,1.817766986502839544e+01,8.883417138626860776e+01,-7.323493457793702532e+01
7.764950000000000045e+02,8.170019999999999527e+01,-1.782248126153666590e+02,2.351384186435105761e+01,9.708788920465886463e+01,-5.762308154635672963e+01
7.765950000000000273e+02,9.091299999999999670e+01,-1.761746328098575418e+02,3.015062690856730043e+01,1.058061482493536118e+02,-4.021785765193664020e+01
7.766950000000000500e+02,1.014210000000000065e+02,-1.740962624767896614e+02,3.832273289844405184e+01,1.149787525045929044e+02,-2.079477707375269802e+01
7.767949999999999591e+02,1.129489999999999981e+02,-1.719897453532613838e+02,4.828408100550631588e+01,1.245905554756939466e+02,8.848911279388858020e-01
7.768949999999999818e+02,1.253299999999999983e+02,-1.698551432904708349e+02,6.030298906567028894e+01,1.346212113096710823e+02,2.506905708487053630e+01
7.769950000000000045e+02,1.386270000000000095e+02,-1.676925366805289741e+02,7.465537499755151885e+01,1.450449818365775911e+02,5.200782015360013588e+01
7.770950000000000273e+02,1.532249999999999943e+02,-1.655020248674645700e+02,9.161586683441323942e+01,1.558306076284235928e+02,8.194444959537224804e+01
7.771950000000000500e+02,1.697920000000000016e+02,-1.632837265409514771e+02,1.114468200038549242e+02,1.669412505097818951e+02,1.151043439726853421e+02
7.772949999999999591e+02,1.892129999999999939e+02,-1.610377801112287841e+02,1.343853846896102198e+02,1.783345140631002721e+02,1.516821186414817078e+02
7.773949999999999818e+02,2.125070000000000050e+02,-1.587643440636781236e+02,1.606289308972433787e+02,1.899625475571545508e+02,1.918271343907198059e+02
7.774950000000000045e+02,2.406920000000000073e+02,-1.564635972915726256e+02,1.903193171626492983e+02,2.017722374015513935e+02,2.356279572726280662e+02
7.775950000000000273e+02,2.746340000000000146e+02,-1.541357394054280121e+02,2.235266682961973572e+02,2.137054887145222324e+02,2.830964176052915491e+02
7.776950000000000500e+02,3.149689999999999941e+02,-1.517809910174875085e+02,2.602334929779601680e+02,2.256995979106093273e+02,3.341520998710819867e+02
7.777949999999999591e+02,3.620840000000000032e+02,-1.493995939998393112e+02,3.003201064856215794e+02,2.376877154042967391e+02,3.886082278900789788e+02
7.778949999999999818e+02,4.161039999999999850e+02,-1.469918117146896748e+02,3.435524100648972308e+02,2.495993956236707731e+02,4.461599939738782723e+02
7.779950000000000045e+02,4.768809999999999718e+02,-1.445579292153995254e+02,3.895731005355411298e+02,2.613612295793313365e+02,5.063764008994728556e+02
7.780950000000000273e+02,5.440040000000000191e+02,-1.420982534168374514e+02,4.378973290210188907e+02,2.728975532876095826e+02,5.686966288917910788e+02
7.781950000000000500e+02,6.167440000000000282e+02,-1.396131132337423821e+02,4.879136886498448575e+02,2.841312234531775971e+02,6.324317988692799872e+02
7.782949999999999591e+02,6.939479999999999791e+02,-1.371028596857881325e+02,5.388911868484510705e+02,2.949844500284542619e+02,6.967727771911172567e+02
7.783949999999999818e+02,7.739550000000000409e+02,-1.345678659681009322e+02,5.899925553243248260e+02,3.053796736366995219e+02,7.608043629929234157e+02
7.784950000000000045e+02,8.546269999999999527e+02,-1.320085274861082212e+02,6.402938850481183408e+02,3.152404744222035333e+02,8.235258319842137098e+02
7.785950000000000273e+02,9.334320000000000164e+02,-1.294252618535689692e+02,6.888101671629350449e+02,3.244924977213837565e+02,8.838774030307498606e+02
7.786950000000000500e+02,1.007669999999999959e+03,-1.268185088528204574e+02,7.345259027195019144e+02,3.330643810718993905e+02,9.407717749385808474e+02
7.787949999999999591e+02,1.074759999999999991e+03,-1.241887303563080422e+02,7.764295474730133719e+02,3.408886665281937098e+02,9.931294836448989827e+02
7.788949999999999818e+02,1.132609999999999900e+03,-1.215364102085588627e+02,8.135502168585699110e+02,3.479026820555117752e+02,1.039916488705522852e+03
7.789950000000000045e+02,1.179730000000000018e+03,-1.188620540679245323e+02,8.449948227591344221e+02,3.540493759464919776e+02,1.080182144637702095e+03
7.790950000000000273e+02,1.215349999999999909e+03,-1.161661892074214393e+02,8.699836744230252634e+02,3.592780887513075072e+02,1.113095573966911388e+03
7.791950000000000500e+02,1.239349999999999909e+03,-1.134493642742172881e+02,8.878825690529560006e+02,3.635452481281054702e+02,1.137978452906844268e+03
7.792949999999999591e+02,1.252109999999999900e+03,-1.107121490073741086e+02,8.982295306226669709e+02,3.668149732907409089e+02,1.154332354906033743e+03
7.793949999999999818e+02,1.254240000000000009e+03,-1.079551339135820456e+02,9.007546237934344617e+02,3.690595773287645898e+02,1.161859067208616807e+03
7.794950000000000045e+02,1.246549999999999955e+03,-1.051789299008127045e+02,8.953916567249106038e+02,3.702599575646411267e+02,1.160472684388738799e+03
7.795950000000000273e+02,1.229869999999999891e+03,-1.023841678698451858e+02,8.822810645320265621e+02,3.704058662506974429e+02,1.150302762912878734e+03
7.796950000000000500e+02,1.205130000000000109e+03,-9.957149826386654468e+01,8.617637980457752747e+02,3.694960562405356654e+02,1.131688356022444395e+03
7.797949999999999591e+02,1.173289999999999964e+03,-9.674159057642626180e+01,8.343665891116515922e+02,3.675382987386869900e+02,1.105163297273912349e+03
7.798949999999999818e+02,1.135380000000000109e+03,-9.389513281816905987e+01,8.007794813247979846e+02,3.645492727751595226e+02,1.071433621281788419e+03
7.799950000000000045e+02,1.092470000000000027e+03,-9.103283094297708544e+01,7.618269640217661163e+02,3.605543286035441497e+02,1.031348461682333209e+03
7.800950000000000273e+02,1.045529999999999973e+03,-8.815540823418950822e+01,7.184343941662083353e+02,3.555871297170433536e+02,9.858661156490620670e+02
7.801950000000000500e+02,9.954279999999999973e+02,-8.526360465182281700e+01,6.715916116227108432e+02,3.496891805529970156e+02,9.360171875238850134e+02
7.802949999999999591e+02,9.429009999999999536e+02,-8.235817614179836710e+01,6.223157358150951950e+02,3.429092491532107374e+02,8.828668088265076221e+02
7.803949999999999818e+02,8.885240000000000009e+02,-7.943989390832655317e+01,5.716150757404876686e+02,3.353026960105498802e+02,8.274778778427109955e+02
7.804950000000000045e+02,8.327989999999999782e+02,-7.650954365080403363e+01,5.204559022782651709e+02,3.269307220150799367e+02,7.708770806425410456e+02
7.805950000000000273e+02,7.762580000000000382e+02,-7.356792476660464786e+01,4.697335432238726298e+02,3.178595497764219999e+02,7.140251682336900103e+02
7.806950000000000500e+02,7.195270000000000437e+02,-7.061584952139287452e+01,4.202488964594248841e+02,3.081595536151122019e+02,6.577926005531442115e+02
7.807949999999999591e+02,6.633179999999999836e+02,-6.765414218865544171e+01,3.726910483608974687e+02,2.979043541651652163e+02,6.029412603374072432e+02
7.808949999999999818e+02,6.084160000000000537e+02,-6.468363816026757718e+01,3.276262670632145841e+02,2.871698938054810242e+02,5.501125227084279459e+02
7.809950000000000045e+02,5.556019999999999754e+02,-6.170518303009848182e+01,2.854932454070988115e+02,2.760335090422505573e+02,4.998215714192508585e+02
7.810950000000000273e+02,5.055480000000000018e+02,-5.871963165265285056e+01,2.466041231719859184e+02,2.645730155103881316e+02,4.524575070297212278e+02
7.811950000000000500e+02,4.587269999999999754e+02,-5.572784717896675488e+01,2.111505425926628732e+02,2.528658204735238257e+02,4.082885158872200009e+02
7.812949999999999591e+02,4.154030000000000200e+02,-5.273070007200459486e+01,1.792137972607856966e+02,2.409880766091831106e+02,3.674711737979642407e+02
7.813949999999999818e+02,3.756220000000000141e+02,-4.972906710389017348e+01,1.507780263494080089e+02,2.290138895080593784e+02,3.300628487535772138e+02
7.814950000000000045e+02,3.392599999999999909e+02,-4.672383033744873160e+01,1.257453802461254071e+02,2.170145897384537648e+02,2.960361396471304261e+02
7.815950000000000273e+02,3.060779999999999745e+02,-4.371587609448690159e+01,1.039521305534868532e+02,2.050580785768775627e+02,2.652943330358774574e+02
7.816950000000000500e+02,2.758039999999999736e+02,-4.070609391341099581e+01,8.518480297702149073e+01,1.932082546366968643e+02,2.376869637003073876e+02
7.817949999999999591e+02,2.481680000000000064e+02,-3.769537549876329763e+01,6.919555925278770303e+01,1.815245266892618474e+02,2.130247104432862386e+02
7.818949999999999818e+02,2.229350000000000023e+02,-3.468461366529021461e+01,5.571622663249890905e+01,1.700614160189273889e+02,1.910930289861360905e+02
7.819950000000000045e+02,1.999000000000000057e+02,-3.167470127924846679e+01,4.447055410871363534e+01,1.588682497341370095e+02,1.716641025636021709e+02
7.820950000000000273e+02,1.789019999999999868e+02,-2.866653019954691217e+01,3.518444926448410115e+01,1.479889446161191984e+02,1.545068636810563873e+02
7.821950000000000500e+02,1.597709999999999866e+02,-2.566099022144328501e+01,2.759410713893045752e+01,1.374618793673379571e+02,1.393949962848251403e+02
7.822949999999999591e+02,1.423170000000000073e+02,-2.265896802543448985e+01,2.145207501385738524e+01,1.273198515571676381e+02,1.261129585455905442e+02
7.823949999999999818e+02,1.263149999999999977e+02,-1.966134613395712449e+01,1.653140020498417329e+01,1.175901141820246494e+02,1.144601682530517053e+02
7.824950000000000045e+02,1.115330000000000013e+02,-1.666900187855054583e+01,1.262808058434098868e+01,1.082944855830679245e+02,1.042535642888583709e+02
7.825950000000000273e+02,9.773149999999999693e+01,-1.368280637996821270e+01,9.562081072163840290e+00,9.944952551034668886e+01,9.532880020254231113e+01
7.826950000000000500e+02,8.474630000000000507e+01,-1.070362354378886494e+01,7.177197059441619231e+00,9.106676939691860184e+01,8.754034291257136147e+01
7.827949999999999591e+02,7.250879999999999370e+01,-7.732309073944463762e+00,5.340042230548315061e+00,8.315301240928160098e+01,8.076074556588545761e+01
7.828949999999999818e+02,6.107090000000000174e+01,-4.769709506504796082e+00,3.938418698343548296e+00,7.571063456681842752e+01,7.487934375865718550e+01
7.829950000000000045e+02,5.057070000000000221e+01,-1.816661266042956413e+00,2.879296901017835975e+00,6.873795816153982230e+01,6.980059379651470408e+01
7.830950000000000273e+02,4.119800000000000040e+01,1.126010253310028020e+00,2.086596079352982969e+00,6.222962884353708546e+01,6.544223517620010000e+01
7.831950000000000500e+02,3.310280000000000200e+01,4.057491579994007225e+00,1.498917383440534712e+00,5.617701204830072470e+01,6.173342101173526686e+01
7.832949999999999591e+02,2.634230000000000160e+01,6.976982028386203183e+00,1.067343912842835918e+00,5.056859690522729522e+01,5.861292284645633544e+01
7.833949999999999818e+02,2.085050000000000026e+01,9.883694531574292341e+00,7.533875360111264019e-01,4.539040035777019710e+01,5.602748242535561474e+01
7.834950000000000045e+02,1.646999999999999886e+01,1.277685644176364121e+01,5.271325767731573908e-01,4.062636491838549802e+01,5.393035393692229462e+01
7.835950000000000273e+02,1.297879999999999967e+01,1.565571029679233561e+01,3.656020766692147927e-01,3.625874424867465962e+01,5.228005662213620752e+01
7.836950000000000500e+02,1.015729999999999933e+01,1.851951455124390122e+01,2.513534343000052296e-01,3.226847157171925318e+01,5.103933955726316185e+01
7.837949999999999591e+02,7.848770000000000024e+00,2.136754427085458019e+01,1.712964509744397679e-01,2.863550676399957240e+01,5.017434748582859072e+01
7.838949999999999818e+02,5.978880000000000194e+00,2.419909178905066938e+01,1.157175629644526110e-01,2.533915881614844778e+01,4.965396816816357273e+01
7.839950000000000045e+02,4.508490000000000109e+00,2.701346732453106370e+01,7.748855538906669616e-02,2.235838117451649509e+01,4.944933705443662575e+01
