frame_index,frame_label,previous_frame_label,coordination_event_count,formed_count,broken_count,pair
1,set_000__step_00000100,set_000__step_00000050,74,0,74,O-Zn
2,set_000__step_00000150,set_000__step_00000100,89,87,2,O-Zn
3,set_000__step_00000200,set_000__step_00000150,42,3,39,O-Zn
4,set_000__step_00000250,set_000__step_00000200,128,3,125,O-Zn
5,set_000__step_00000300,set_000__step_00000250,80,64,16,O-Zn
6,set_000__step_00000350,set_000__step_00000300,24,20,4,O-Zn
7,set_000__step_00000400,set_000__step_00000350,73,6,67,O-Zn
8,set_000__step_00000450,set_000__step_00000400,39,27,12,O-Zn
9,set_000__step_00000500,set_000__step_00000450,142,113,29,O-Zn
10,set_000__step_00000550,set_000__step_00000500,53,42,11,O-Zn
11,set_000__step_00000600,set_000__step_00000550,30,28,2,O-Zn
13,set_000__step_00000700,set_000__step_00000650,7,3,4,O-Zn
14,set_000__step_00000750,set_000__step_00000700,6,2,4,O-Zn
15,set_000__step_00000800,set_000__step_00000750,8,6,2,O-Zn
16,set_000__step_00000850,set_000__step_00000800,7,3,4,O-Zn
17,set_000__step_00000900,set_000__step_00000850,57,2,55,O-Zn
18,set_000__step_00000950,set_000__step_00000900,48,32,16,O-Zn
19,set_000__step_00001000,set_000__step_00000950,62,24,38,O-Zn
20,set_000__step_00001050,set_000__step_00001000,41,9,32,O-Zn
21,set_000__step_00001100,set_000__step_00001050,65,9,56,O-Zn
22,set_000__step_00001150,set_000__step_00001100,68,61,7,O-Zn
23,set_000__step_00001200,set_000__step_00001150,60,49,11,O-Zn
24,set_000__step_00001250,set_000__step_00001200,38,25,13,O-Zn
25,set_000__step_00001300,set_000__step_00001250,36,14,22,O-Zn
26,set_000__step_00001350,set_000__step_00001300,28,21,7,O-Zn
27,set_000__step_00001400,set_000__step_00001350,14,14,0,O-Zn
28,set_000__step_00001450,set_000__step_00001400,6,1,5,O-Zn
29,set_000__step_00001500,set_000__step_00001450,22,4,18,O-Zn
30,set_000__step_00001550,set_000__step_00001500,44,15,29,O-Zn
31,set_000__step_00001600,set_000__step_00001550,33,5,28,O-Zn
32,set_000__step_00001650,set_000__step_00001600,33,23,10,O-Zn
33,set_000__step_00001700,set_000__step_00001650,28,20,8,O-Zn
34,set_000__step_00001750,set_000__step_00001700,24,14,10,O-Zn
35,set_000__step_00001800,set_000__step_00001750,21,17,4,O-Zn
36,set_000__step_00001850,set_000__step_00001800,16,14,2,O-Zn
37,set_000__step_00001900,set_000__step_00001850,31,2,29,O-Zn
38,set_000__step_00001950,set_000__step_00001900,46,19,27,O-Zn
39,set_000__step_00002000,set_000__step_00001950,39,28,11,O-Zn
40,set_000__step_00002050,set_000__step_00002000,37,13,24,O-Zn
41,set_000__step_00002100,set_000__step_00002050,39,23,16,O-Zn
42,set_000__step_00002150,set_000__step_00002100,41,12,29,O-Zn
43,set_000__step_00002200,set_000__step_00002150,57,17,40,O-Zn
44,set_000__step_00002250,set_000__step_00002200,36,17,19,O-Zn
45,set_000__step_00002300,set_000__step_00002250,32,20,12,O-Zn
46,set_000__step_00002350,set_000__step_00002300,45,42,3,O-Zn
47,set_000__step_00002400,set_000__step_00002350,22,18,4,O-Zn
48,set_000__step_00002450,set_000__step_00002400,8,7,1,O-Zn
49,set_000__step_00002500,set_000__step_00002450,5,1,4,O-Zn
50,set_000__step_00002550,set_000__step_00002500,10,3,7,O-Zn
51,set_000__step_00002600,set_000__step_00002550,6,3,3,O-Zn
52,set_000__step_00002650,set_000__step_00002600,9,3,6,O-Zn
53,set_000__step_00002700,set_000__step_00002650,18,5,13,O-Zn
54,set_000__step_00002750,set_000__step_00002700,43,10,33,O-Zn
55,set_000__step_00002800,set_000__step_00002750,53,25,28,O-Zn
56,set_000__step_00002850,set_000__step_00002800,75,30,45,O-Zn
57,set_000__step_00002900,set_000__step_00002850,59,14,45,O-Zn
58,set_000__step_00002950,set_000__step_00002900,45,19,26,O-Zn
59,set_000__step_00003000,set_000__step_00002950,52,43,9,O-Zn
60,set_000__step_00003050,set_000__step_00003000,53,51,2,O-Zn
61,set_000__step_00003100,set_000__step_00003050,14,12,2,O-Zn
62,set_000__step_00003150,set_000__step_00003100,5,3,2,O-Zn
63,set_000__step_00003200,set_000__step_00003150,4,1,3,O-Zn
64,set_000__step_00003250,set_000__step_00003200,8,4,4,O-Zn
65,set_000__step_00003300,set_000__step_00003250,8,5,3,O-Zn
66,set_000__step_00003350,set_000__step_00003300,16,4,12,O-Zn
67,set_000__step_00003400,set_000__step_00003350,14,6,8,O-Zn
68,set_000__step_00003450,set_000__step_00003400,37,11,26,O-Zn
69,set_000__step_00003500,set_000__step_00003450,41,14,27,O-Zn
70,set_000__step_00003550,set_000__step_00003500,58,17,41,O-Zn
71,set_000__step_00003600,set_000__step_00003550,59,24,35,O-Zn
72,set_000__step_00003650,set_000__step_00003600,40,25,15,O-Zn
73,set_000__step_00003700,set_000__step_00003650,53,41,12,O-Zn
74,set_000__step_00003750,set_000__step_00003700,34,25,9,O-Zn
75,set_000__step_00003800,set_000__step_00003750,22,16,6,O-Zn
76,set_000__step_00003850,set_000__step_00003800,14,11,3,O-Zn
77,set_000__step_00003900,set_000__step_00003850,6,4,2,O-Zn
78,set_000__step_00003950,set_000__step_00003900,10,1,9,O-Zn
79,set_000__step_00004000,set_000__step_00003950,20,10,10,O-Zn
80,set_000__step_00004050,set_000__step_00004000,16,7,9,O-Zn
81,set_000__step_00004100,set_000__step_00004050,25,7,18,O-Zn
82,set_000__step_00004150,set_000__step_00004100,24,16,8,O-Zn
83,set_000__step_00004200,set_000__step_00004150,27,10,17,O-Zn
84,set_000__step_00004250,set_000__step_00004200,23,8,15,O-Zn
85,set_000__step_00004300,set_000__step_00004250,35,16,19,O-Zn
86,set_000__step_00004350,set_000__step_00004300,37,12,25,O-Zn
87,set_000__step_00004400,set_000__step_00004350,52,27,25,O-Zn
88,set_000__step_00004450,set_000__step_00004400,40,33,7,O-Zn
89,set_000__step_00004500,set_000__step_00004450,25,16,9,O-Zn
90,set_000__step_00004550,set_000__step_00004500,18,7,11,O-Zn
91,set_000__step_00004600,set_000__step_00004550,21,12,9,O-Zn
92,set_000__step_00004650,set_000__step_00004600,13,7,6,O-Zn
93,set_000__step_00004700,set_000__step_00004650,32,6,26,O-Zn
94,set_000__step_00004750,set_000__step_00004700,28,16,12,O-Zn
95,set_000__step_00004800,set_000__step_00004750,30,18,12,O-Zn
96,set_000__step_00004850,set_000__step_00004800,19,16,3,O-Zn
97,set_000__step_00004900,set_000__step_00004850,11,4,7,O-Zn
98,set_000__step_00004950,set_000__step_00004900,22,8,14,O-Zn
99,set_000__step_00005000,set_000__step_00004950,19,10,9,O-Zn
100,set_000__step_00005050,set_000__step_00005000,32,11,21,O-Zn
101,set_000__step_00005100,set_000__step_00005050,22,13,9,O-Zn
102,set_000__step_00005150,set_000__step_00005100,26,17,9,O-Zn
103,set_000__step_00005200,set_000__step_00005150,21,8,13,O-Zn
104,set_000__step_00005250,set_000__step_00005200,25,13,12,O-Zn
105,set_000__step_00005300,set_000__step_00005250,21,11,10,O-Zn
106,set_000__step_00005350,set_000__step_00005300,32,10,22,O-Zn
107,set_000__step_00005400,set_000__step_00005350,32,11,21,O-Zn
108,set_000__step_00005450,set_000__step_00005400,25,12,13,O-Zn
109,set_000__step_00005500,set_000__step_00005450,34,27,7,O-Zn
110,set_000__step_00005550,set_000__step_00005500,23,15,8,O-Zn
111,set_000__step_00005600,set_000__step_00005550,16,12,4,O-Zn
112,set_000__step_00005650,set_000__step_00005600,7,4,3,O-Zn
113,set_000__step_00005700,set_000__step_00005650,8,2,6,O-Zn
114,set_000__step_00005750,set_000__step_00005700,13,4,9,O-Zn
115,set_000__step_00005800,set_000__step_00005750,17,6,11,O-Zn
116,set_000__step_00005850,set_000__step_00005800,21,12,9,O-Zn
117,set_000__step_00005900,set_000__step_00005850,22,6,16,O-Zn
118,set_000__step_00005950,set_000__step_00005900,40,17,23,O-Zn
119,set_000__step_00006000,set_000__step_00005950,37,15,22,O-Zn
120,set_000__step_00006050,set_000__step_00006000,51,23,28,O-Zn
