frame_index,frame_label,previous_frame_label,coordination_event_count,formed_count,broken_count,pair
1,set_000__step_00000100,set_000__step_00000050,86,1,85,O-Zn
2,set_000__step_00000150,set_000__step_00000100,91,85,6,O-Zn
3,set_000__step_00000200,set_000__step_00000150,48,11,37,O-Zn
4,set_000__step_00000250,set_000__step_00000200,131,5,126,O-Zn
5,set_000__step_00000300,set_000__step_00000250,74,54,20,O-Zn
6,set_000__step_00000350,set_000__step_00000300,48,36,12,O-Zn
7,set_000__step_00000400,set_000__step_00000350,72,17,55,O-Zn
8,set_000__step_00000450,set_000__step_00000400,59,32,27,O-Zn
9,set_000__step_00000500,set_000__step_00000450,130,92,38,O-Zn
10,set_000__step_00000550,set_000__step_00000500,73,62,11,O-Zn
11,set_000__step_00000600,set_000__step_00000550,35,29,6,O-Zn
12,set_000__step_00000650,set_000__step_00000600,14,10,4,O-Zn
13,set_000__step_00000700,set_000__step_00000650,11,2,9,O-Zn
14,set_000__step_00000750,set_000__step_00000700,15,6,9,O-Zn
15,set_000__step_00000800,set_000__step_00000750,17,12,5,O-Zn
16,set_000__step_00000850,set_000__step_00000800,4,3,1,O-Zn
17,set_000__step_00000900,set_000__step_00000850,57,4,53,O-Zn
18,set_000__step_00000950,set_000__step_00000900,65,37,28,O-Zn
19,set_000__step_00001000,set_000__step_00000950,55,27,28,O-Zn
20,set_000__step_00001050,set_000__step_00001000,52,10,42,O-Zn
21,set_000__step_00001100,set_000__step_00001050,55,15,40,O-Zn
22,set_000__step_00001150,set_000__step_00001100,67,44,23,O-Zn
23,set_000__step_00001200,set_000__step_00001150,88,70,18,O-Zn
24,set_000__step_00001250,set_000__step_00001200,43,22,21,O-Zn
25,set_000__step_00001300,set_000__step_00001250,40,20,20,O-Zn
26,set_000__step_00001350,set_000__step_00001300,34,17,17,O-Zn
27,set_000__step_00001400,set_000__step_00001350,27,21,6,O-Zn
28,set_000__step_00001450,set_000__step_00001400,19,10,9,O-Zn
29,set_000__step_00001500,set_000__step_00001450,31,10,21,O-Zn
30,set_000__step_00001550,set_000__step_00001500,53,16,37,O-Zn
31,set_000__step_00001600,set_000__step_00001550,50,23,27,O-Zn
32,set_000__step_00001650,set_000__step_00001600,38,26,12,O-Zn
33,set_000__step_00001700,set_000__step_00001650,34,14,20,O-Zn
34,set_000__step_00001750,set_000__step_00001700,33,23,10,O-Zn
35,set_000__step_00001800,set_000__step_00001750,28,21,7,O-Zn
36,set_000__step_00001850,set_000__step_00001800,22,14,8,O-Zn
37,set_000__step_00001900,set_000__step_00001850,33,8,25,O-Zn
38,set_000__step_00001950,set_000__step_00001900,29,8,21,O-Zn
39,set_000__step_00002000,set_000__step_00001950,51,28,23,O-Zn
40,set_000__step_00002050,set_000__step_00002000,41,20,21,O-Zn
41,set_000__step_00002100,set_000__step_00002050,54,27,27,O-Zn
42,set_000__step_00002150,set_000__step_00002100,63,22,41,O-Zn
43,set_000__step_00002200,set_000__step_00002150,69,34,35,O-Zn
44,set_000__step_00002250,set_000__step_00002200,41,15,26,O-Zn
45,set_000__step_00002300,set_000__step_00002250,37,26,11,O-Zn
46,set_000__step_00002350,set_000__step_00002300,38,32,6,O-Zn
47,set_000__step_00002400,set_000__step_00002350,29,21,8,O-Zn
48,set_000__step_00002450,set_000__step_00002400,13,11,2,O-Zn
49,set_000__step_00002500,set_000__step_00002450,15,6,9,O-Zn
50,set_000__step_00002550,set_000__step_00002500,18,8,10,O-Zn
51,set_000__step_00002600,set_000__step_00002550,18,8,10,O-Zn
52,set_000__step_00002650,set_000__step_00002600,28,9,19,O-Zn
53,set_000__step_00002700,set_000__step_00002650,34,15,19,O-Zn
54,set_000__step_00002750,set_000__step_00002700,45,17,28,O-Zn
55,set_000__step_00002800,set_000__step_00002750,66,29,37,O-Zn
56,set_000__step_00002850,set_000__step_00002800,73,24,49,O-Zn
57,set_000__step_00002900,set_000__step_00002850,77,27,50,O-Zn
58,set_000__step_00002950,set_000__step_00002900,60,32,28,O-Zn
59,set_000__step_00003000,set_000__step_00002950,59,49,10,O-Zn
60,set_000__step_00003050,set_000__step_00003000,31,27,4,O-Zn
61,set_000__step_00003100,set_000__step_00003050,32,24,8,O-Zn
62,set_000__step_00003150,set_000__step_00003100,12,7,5,O-Zn
63,set_000__step_00003200,set_000__step_00003150,15,7,8,O-Zn
64,set_000__step_00003250,set_000__step_00003200,16,7,9,O-Zn
65,set_000__step_00003300,set_000__step_00003250,27,12,15,O-Zn
66,set_000__step_00003350,set_000__step_00003300,24,11,13,O-Zn
67,set_000__step_00003400,set_000__step_00003350,31,15,16,O-Zn
68,set_000__step_00003450,set_000__step_00003400,36,13,23,O-Zn
69,set_000__step_00003500,set_000__step_00003450,51,15,36,O-Zn
70,set_000__step_00003550,set_000__step_00003500,80,29,51,O-Zn
71,set_000__step_00003600,set_000__step_00003550,65,24,41,O-Zn
72,set_000__step_00003650,set_000__step_00003600,58,34,24,O-Zn
73,set_000__step_00003700,set_000__step_00003650,72,49,23,O-Zn
74,set_000__step_00003750,set_000__step_00003700,48,32,16,O-Zn
75,set_000__step_00003800,set_000__step_00003750,40,26,14,O-Zn
76,set_000__step_00003850,set_000__step_00003800,23,18,5,O-Zn
77,set_000__step_00003900,set_000__step_00003850,22,9,13,O-Zn
78,set_000__step_00003950,set_000__step_00003900,16,10,6,O-Zn
79,set_000__step_00004000,set_000__step_00003950,17,9,8,O-Zn
80,set_000__step_00004050,set_000__step_00004000,19,7,12,O-Zn
81,set_000__step_00004100,set_000__step_00004050,21,11,10,O-Zn
82,set_000__step_00004150,set_000__step_00004100,23,10,13,O-Zn
83,set_000__step_00004200,set_000__step_00004150,29,13,16,O-Zn
84,set_000__step_00004250,set_000__step_00004200,27,12,15,O-Zn
85,set_000__step_00004300,set_000__step_00004250,43,16,27,O-Zn
86,set_000__step_00004350,set_000__step_00004300,49,22,27,O-Zn
87,set_000__step_00004400,set_000__step_00004350,49,29,20,O-Zn
88,set_000__step_00004450,set_000__step_00004400,40,19,21,O-Zn
89,set_000__step_00004500,set_000__step_00004450,37,22,15,O-Zn
90,set_000__step_00004550,set_000__step_00004500,31,19,12,O-Zn
91,set_000__step_00004600,set_000__step_00004550,21,13,8,O-Zn
92,set_000__step_00004650,set_000__step_00004600,17,11,6,O-Zn
